증상,병명
"다른 사람의 권리를 무시하는 무책임한 행동 양식을 반복적, 지속적으로 보인다. 많은 이들이 반복적인 범법행위에 참여하거나 연루되곤 한다. 다른 사람의 감정에 대한 관심이나 걱정이 전혀 없으며, 사기를 일삼고, 다른 사람에게 피해를 입히고도 양심의 가책을 느끼지 못한다. 사회적, 가정적으로 맡은 역할을 수행하지 못하기 때문에 성실, 정직, 신뢰와는 거리가 멀다. 반사회적인 사람들 중 일부는 달변의 매력을 갖추어 다른 사람을 매혹시키고 착취하기도 한다. 대개의 경우 다른 사람이 느끼는 감정에 관심이 없지만, 타인의 고통에서 즐거움을 얻는 가학적인 사람들도 있다. 반사회적 인격장애는 마약 등 물질 남용과 연관성이 높다.",반사회적인격장애
"통증, 압통 및 종창과 부종이 전형적인 증상으로 급성기에는 체중을 싣고 서기가 힘들 정도이다. 심한 손상의 경우 다치는 순간 인대가 끊어지는 파열음을 들을 수 있는 경우도 있다. 그러나 증상의 심한 정도가 반드시 손상 정도와 일치하는 것은 아니다. 심한 손상으로 발목관절 주변 인대가 파열이 되거나 관절의 탈구가 동반되는 경우 관절의 불안정성이 동반될 수 있으나 다친 직후에는 통증으로 인한 근육 경직으로 확인이 어려울 수 있다. 초기에는 통증, 압통, 종창이 주증상이며 부기가 가라앉으면서 멍이 발목아래쪽으로 생기는 경과를 거친다. 골절 또는 다양한 관절 내 손상이 동반될 수 있어 이에 따른 증상을 나타내기도 한다.",발목염좌
"자궁내경관 용종은 대부분 증상이 없고 정기검진 시 의사에 의해 우연히 발견된다. 증상이 있는 경우 생리 중간에 나타나는 부정기적인 질출혈, 부부관계 후 출혈, 질 분비물 증가 등으로 나타난다. 용종 조직 끝에 괴사가 일어난 경우 지속적인 질출혈을 야기할 수도 있다.",자궁내경관용종
"복통은 보통 심하지 않고, 오른쪽 또는 왼쪽 중 한쪽만 아픈 경우가 많다. 대부분은 몇 시간 안에 통증이 사라지나, 길게는 2~3일간 복부 불편감이 지속된다. 어떤 경우에는 심하지 않은 오심, 소량의 질 출혈 및 두통을 경험한다. 가임기 여성의 20%가 배란통을 매달 경험한다.",배란통
"대부분은 무증상인 경우가 많으며, 그 외 비정상적인 질 출혈이나 성교 시 통증 및 출혈, 질 분비물 증가 등이 발생할 수 있다.",자궁경부비정형세포
일반적으로 증상을 일으키지 않으며 영상검사에서 우연히 발견하는 경우가 많다. 드물지만 담낭벽 비후로 인해 담관 협착이 발생하여 통증이 발생하거나 담석과 동반하여 담관 폐색으로 인한 증상이 발생하기도 한다.,담낭벽비후
"콧물이 있을 때 동반될 수 있는 증상으로는 발열, 빈호흡, 산소포화도 저하 등이 있습니다. 눈의 간지러움, 눈물 등이 동반될 수 있고, 코가 막힐 경우 입으로 숨을 쉬거나 목이 부을 수도 있다.",영유아콧물
작열감의 증상은 피부에 타는 듯한 느낌의 통증 내지는 화끈거리는 느낌으로 나타난다.,작열감
원인 인자에 노출된 후 보통 수시간에서 이틀 정도에 인공호흡기가 없으면 생명을 유지할 수 없을 정도의 심한 호흡곤란을 보인다.,급성호흡곤란증후군
"충돌 증후군의 가장 특징적인 증상은 통증이다. 흔히 삼각근 부위에 발생하며, 경우에 따라 상완부가 아프기도 한다. 심하지 않은 경우에는 특정한 자세나 과격한 움직임에서 통증이 유발되지만 심해지면 지속적인 통증이 발생하기도 한다. 특히 팔을 전방 거상 할 때나 외전할 때 통증이 흔히 발생하며 60도에서 120도 까지 거상 시 통증이 나타나고 120도 이상 거상 시 통증이 줄어드는 동통 궁 증후군 현상이 나타나기도 한다. 또한 야간통으로 표현되는 바와 같이 밤에 누워 자려고 하면 통증이 심해져서 잠을 못 이룰 정도록 심해지기도 하여 수면장애를 일으키기도 한다. 간혹 견봉하 조직들의 충동에 따른 염발음이 나타나기도 한다. 특정한 움직임에서 소리가 나는 것은 환자가 인식하기도 하며 심한 경우 외부에서 들릴 정도로 크게 나기도 한다.",어깨충돌증후군
