증상,병명
다른 사람 권리 무시 행동 양식 반복 지속 이 반복 범법 행위 참여 거나 연루 다른 사람 감정 대한 관심 걱정 전혀 사기 일삼 다른 사람 피해 양심 가책 사회 가정 역할 수행 때문 성실 정직 신뢰 거리 사회 사람 중 일부 달변 매력 다른 사람 매혹 착취 대개 경우 다른 사람 감정 관심 타인 고통 즐거움 학적 사람 사회 인격장애 마약 등 물질 남용 연관,반사회적인격장애
통증 압통 및 종창 부종 전형 증상 급 성기 체중 서기 정도 손상 경우 순간 인대 파열음 수 경우 증상 정도 반드시 손상 정도 일치 것 손상 발목 관절 주변 인대 파열 관절 탈구 동반 경우 관절 불안 정성 동반 수 직후 통증 근육 경직 확인 수 초기 통증 압통 종창 증상 부기 멍 발목 아래쪽 경과 골절 관절 내 손상 동반 수 이 증상,발목염좌
자궁 경관 용종 대부분 증상 정기 검진 시 의사 발견 증상 경우 생리 중간 부정 기적 질 출혈 부부 관계 후 출혈 질 분비물 증가 등 용종 조직 끝 괴사 경우 지속 질 출혈 야기 수도,자궁내경관용종
복통 보통 오른쪽 왼쪽 중 한쪽 경우 대부분 몇 시간 안 통증 복부 불편 감 지속 경우 오심 소량 질 출혈 및 두통 경험 임기 여성 배란통 매달 경험,배란통
대부분 무증상 경우 그 외 비정상 질 출혈 성교 시 통증 및 출혈 질 분비물 증가 등 발생 수,자궁경부비정형세포
일반 증상 영상 검사 발견 경우 담낭 벽 비후 담관 협착 발생 통증 발생 거나 담석 동반 담관 폐색 증상 발생,담낭벽비후
콧물 때 동반 수 증상 발열 빈 호흡 산소 포화 저하 등 눈 움 눈물 등 동반 수 코 경우 입 숨 목 수도,영유아콧물
감 증상 피부 듯 느낌 통증 내지 화끈 거리 느낌,작열감
원인 인자 노출 후 보통 시간 이틀 정도 인공 호흡기 생명 유지 수 정도 호흡 곤란,급성호흡곤란증후군
충돌 증후군 가장 특징 증상 통증 삼각근 부위 발생 경우 상완부 기도 경우 자세 움직임 통증 유발 지속 통증 발생 팔 전방 거상 때 외전 때 통증 발생 도 도 거상 시 통증 도 이상 거상 시 통증 통 궁 증후군 현상 또한 야간 통 표현 바 밤 통증 잠 못 정도 록 기도 수면장애 기도 간혹 견 봉하 조직 충동 염 발음 움직임 소리 나 것 환자 인식 경우 외부 정도 크게 나기,어깨충돌증후군
대개 상부 위장 관내 시경 중 발견 경우 상 복부 통 복부 팽만감 하혈 토혈 출혈 오심 구토 체중 감소 소화 불량 연하 장애 등 호소 수,위점막하종양
발열 서서히 진행 호흡 곤란 객담 별로 기침 폐포 자충 폐렴 면역 기능 저하 사람 발생 세균 폐렴 바이러스 폐렴 진행 경과 증상 생기 수 후 병원 방문 경우,주폐포자충폐렴
가장 증상 태아 수종 이 용혈 빈혈 증상 이로 산소 증 발생 극복 위해 심박출량 증가 심부전 수 혈액 량 증가 정 맥압 상승 나트륨 및 염 의 체류 전신 부종 등 또한 파괴 적혈구 대체 위해 혈구 생 태아 성인 달리 골수 외 다른 장기 혈구 생 수 간이 비장 장기 비대 문제 태아 장기 기능 덜 때문 과 다한 부여 때 처리 수 상황 발생 수 적혈구 파괴 빌리루빈 생 빌리루빈 간 포합 과정 수용성 장관 배설 과정 빌리루빈 제대로 포합 과정 거치 혈중 과 빌리루빈 혈증 포합 과정 거치 비포합 빌리루빈 비수 용성 물질 뇌 척수 방어 막 혈뇌장벽 통과 핵 황달 이 발생 핵 황달 경우 태아 사망 수,ABO신생아용혈성질환
통증 시력 저하 흰자위 일부 은색 피 고인 듯,결막하출혈
아프타구내염 아프타구내염 포진 모양 궤양 의 개 임 상형 분할 수 혀 다른 입안 점막 발생 아프타구내염 전체 를 차지 여자 미만 보통 직경 개 원형 타원형 궤양 주변 부의 홍반 생기 정도 호전 흉터 경우 아프타구내염 남자 이상 보통 크기 더 통증 흉터 경우 재발 아기 시작 두 아프타구내염 달리 포진 모양 궤양 주로 발생 여자 의 궤양 다수 발생 기도,소아혓바늘
이 병 환자 일부 황달 피부 누렇 증상 때문 황열 증상 잠복기 급 성기 독성 기 로 수 정도 잠복기 급 성기 급 성기 발열 근육통 오한 두통 식욕 상실 구역 구토 등 증상 급 성기 증상 발생 후 증상 것 보통 이후 환자 정도 독성 기 독성 기 환자 열 다시 발생 황달 복통 구토 등 증세 또한 입 코 눈 위 장관 등 출혈 발생 수 간 기능 저하 간 혈액 응고 인자 제대로 때문 급성 신부전 발생 독성 기 환자 절반 정도 이내 사망,황열
골반 염 전형 증상 골반 통 발열 진찰 시 자궁경부 자궁 부속 기 난소 난관 의 통증 등 이외 골반 염 증상 매우 하복 통 질 분비물 증가 월 경량 과 감 오한 배뇨 시 불편 감 등 비뇨 생식기 이상 증상 모든 여성 골반 염 가능성 염두 골반 염 아무 증상 경우,골반염
재발 천명 호흡 때 호흡 음 들숨 때 날숨 때 발생 때 발생 숨소리,천명
낭 종은 전적 가지 형태 분류 이 중 제 형 이상 형 형 낭 종은 일반 상부 측경부 형 형 상대 대부분 하부 경부 좌측 발견 제 형 흉쇄유돌근 전방 피부 연결 형 이상 첨부 누 공로 시작 제 열기 이개 하방 부위 농양 발생 것 오인 수 제 열기 대부분 일 성 양 성 발생 경우 낭종 형태 측경부 후방 흉쇄유돌근 전방 위치 타원형 낭종 제 열기 부인 낭종 경우 신생아 기도폐쇄 수도 제 열기 대부분 소아 증상 누공 내부 하인 의 이상 와로 연결 분비물 음식물 노출 세 이전 반복 좌측 경부 농양 형태 반복 급성 화농 갑상선 염 형태 영아 반복 인후 농양 봉소염 호흡 곤 곤란 폐쇄증상 수 낭 종은 경부 종물 감염 경부 측면 종물 외 증상 거의 다만 상기 감염 이차 감염 반복 염증 발생 거나 붓기 열 낭 종이 부위 통증 농 수 낭종 크기 연하 곤란 호흡 곤란 발음 장애 등 증상,새열낭종
